sourceID,entityName,reportingCompany,entityCountry,paymentType,startDate,endDate,value(USD),notes,NRGINotes
1bbccec849e60111ebe2cc4f5a77589d,Ministry of Mines and Geology; Senegal,Eramet S.A.,Senegal,Royalties,01-01-2019,12-31-2019,8504563,,"'Ministry of Mines of Senegal' changed to 'Ministry of Mines and Geology; Senegal'"
21dc7e76d3767a74c71fd1d9df4ed97f-d0fd136bfb769da2a5781fe2fd7a5bd3-7781bb394e402aedb01c6f3492048ba2-d9cba03a0c94c2b29c1d839c43411d96,"Collection Office; Directorate General of Taxes and Domains; Ministry of Economy, Finance and Planning; Senegal",CNOOC Limited,Senegal,Fees,01-01-2018,12-31-2018,669378,,"'Chef du Division du Recouvrement Senegal' changed to 'Collection Office; Directorate General of Taxes and Domains; Ministry of Economy, Finance and Planning; Senegal'"
1ef75e7dbf93179900fe8e90b0149ca0,"Collection Office; Directorate General of Taxes and Domains; Ministry of Economy, Finance and Planning; Senegal",Kosmos Energy,Senegal,Taxes,01-01-2019,12-31-2019,215000,,"'Chef du Bureau de Recouvrement' changed to 'Collection Office; Directorate General of Taxes and Domains; Ministry of Economy, Finance and Planning; Senegal'; 'Taxes (Non-Income)' changed to 'Taxes'"
21dc7e76d3767a74c71fd1d9df4ed97f-d0fd136bfb769da2a5781fe2fd7a5bd3-7781bb394e402aedb01c6f3492048ba2-d9cba03a0c94c2b29c1d839c43411d96,Management and Cooperation Agency Between Senegal and Guinea-Bissau,CNOOC Limited,Senegal,Fees,01-01-2018,12-31-2018,125697,,"'Agence de Gestion et de Cooperation' changed to 'Management and Cooperation Agency Between Senegal and Guinea-Bissau'"
1bbccec849e60111ebe2cc4f5a77589d,Region of Thies; Senegal,Eramet S.A.,Senegal,Payments for infrastructure improvements,01-01-2019,12-31-2019,416941,,"'Thies Region' changed to 'Region of Thies; Senegal'"
29adf1e9911127ce51b59acc31716a21,"Ministry of Economy, Finance and Planning; Senegal",Eramet S.A.,Senegal,Royalties,01-01-2017,12-31-2017,4289129,,"'Ministère des mines du Sénégal' changed to 'Ministry of Economy, Finance and Planning; Senegal'"
29adf1e9911127ce51b59acc31716a21,Commune of Tivaouane; Department of Tivaouane; Region of Thies; Senegal,Eramet S.A.,Senegal,Payments for infrastructure improvements,01-01-2017,12-31-2017,347378,"Grande Côte Transactions SA (GCO) is 90% owned by TizirLimited, a company that is itself owned 50% by ERAMET and MineralDepositsLtd. The amount indicated corresponds to the totality of the payment made by GCO. (I) ""Mandatory"" social program of GCO for the execution of works or equipments for the benefit of the villagers impacted by the mining exploitation.","'Commune de Tivaouane' changed to 'Commune of Tivaouane; Department of Tivaouane; Region of Thies; Senegal'"
2f79d35d9d69aebca719bed2fd1200b4-e37693145cc9e772cdf9313e02f0c596-b318ff798a405aa39c60045250365aaf-2a0e1b8ae7c02bdd8441f2803ccd6d11,PETROSEN SA,CNOOC Limited,Senegal,Fees,01-01-2020,12-31-2020,14486
32cec8d3ada29d51965541f896a7c9e4,Etat du Sénégal C/O Fondation Total Sénégal,TotalEnergies SE (formerly Total S.A.),Senegal,Payments for infrastructure improvements,01-01-2020,12-31-2020,217000,,"'Infrastructure improvements' changed to 'Payments for infrastructure improvements'"
350e11acb435c3b100c9c0ea6014780a,Societe Des Petroles Du Senegal (Petrosen),BP plc,Senegal,Fees,01-01-2020,12-31-2020,800000,,"'Société des pétroles du Sénégal' changed to 'Societe Des Petroles Du Senegal (Petrosen)'"
