sourceID,projectName,reportingCompany,projectCountry,paymentType,startDate,endDate,value(USD),notes,NRGINotes
1bbccec849e60111ebe2cc4f5a77589d,Grande Cote Operation S.A.,Eramet S.A.,Senegal,Royalties,01-01-2019,12-31-2019,8504563,,"'Grande Cote Operations SA' changed to 'Grande Cote Operation S.A.'"
1ef75e7dbf93179900fe8e90b0149ca0,Company Level,Kosmos Energy,Senegal,Taxes,01-01-2019,12-31-2019,215000,,"'Taxes (Non-Income)' changed to 'Taxes'"
21dc7e76d3767a74c71fd1d9df4ed97f-d0fd136bfb769da2a5781fe2fd7a5bd3-7781bb394e402aedb01c6f3492048ba2-d9cba03a0c94c2b29c1d839c43411d96,Exploration,CNOOC Limited,Senegal,Fees,01-01-2018,12-31-2018,795075
32cec8d3ada29d51965541f896a7c9e4,Ultra Deep Offshore (UDO),TotalEnergies SE (formerly Total S.A.),Senegal,Payments for infrastructure improvements,01-01-2020,12-31-2020,117000,,"'UDO' changed to 'Ultra Deep Offshore (UDO)'; 'Infrastructure improvements' changed to 'Payments for infrastructure improvements'"
32cec8d3ada29d51965541f896a7c9e4,Rufisque Offshore Profond,TotalEnergies SE (formerly Total S.A.),Senegal,Payments for infrastructure improvements,01-01-2020,12-31-2020,100000,,"'ROP' changed to 'Rufisque Offshore Profond'; 'Infrastructure improvements' changed to 'Payments for infrastructure improvements'"
7cca4e996273da026dea824889badf72,Rufisque Offshore Profond,African Petroleum Corporation Limited,Senegal,Fees,01-01-2016,12-31-2016,0,,"'ROP' changed to 'Rufisque Offshore Profond'; 'License fees' changed to 'Fees'"
350e11acb435c3b100c9c0ea6014780a,Saint Louis Offshore Profond,BP plc,Senegal,Fees,01-01-2020,12-31-2020,500000,,"'Block St Louis Profond' changed to 'Saint Louis Offshore Profond'"
be6abee9e475fd8867e0e3ecfcc4b644,Saint Louis Offshore Profond,Kosmos Energy,Senegal,Taxes,01-01-2018,12-31-2018,714000,"(3) Primarily local payroll-related taxes and withholding taxes on interest payments as well as property taxes paid on pipe and tangible goods inventory stored at various onshore locations in the United States. These values are exclusive of withholding taxes remitted on behalf of service providers. In addition to the numbers above, Kosmos made payments to Chef du Bureau de Recouvrement of $4.2 million representing W/H tax for services performed outside of Senegal but which were taxable in Senegal.","'Taxes (Non-Income)' changed to 'Taxes'"
350e11acb435c3b100c9c0ea6014780a,Cayar Offshore Profond,BP plc,Senegal,Fees,01-01-2020,12-31-2020,300000,,"'Block Cayar Profond' changed to 'Cayar Offshore Profond'"
be6abee9e475fd8867e0e3ecfcc4b644,Cayar Offshore Profond,Kosmos Energy,Senegal,Taxes,01-01-2018,12-31-2018,184000,"(3) Primarily local payroll-related taxes and withholding taxes on interest payments as well as property taxes paid on pipe and tangible goods inventory stored at various onshore locations in the United States. These values are exclusive of withholding taxes remitted on behalf of service providers. In addition to the numbers above, Kosmos made payments to Chef du Bureau de Recouvrement of $4.2 million representing W/H tax for services performed outside of Senegal but which were taxable in Senegal.","'Taxes (Non-Income)' changed to 'Taxes'"
3a4dc438408124bd3311db05261ca18d,Sabodala Gold Project,Teranga Gold Corporation,Senegal,Payments for infrastructure improvements,01-01-2020,12-31-2020,1963930,,"'Sabodala Gold Operations SA (Sabodala project)' changed to 'Sabodala Gold Project'; 'Infrastructure Improvement Payments' changed to 'Payments for infrastructure improvements'"
3a4dc438408124bd3311db05261ca18d,Sabodala Mining Company S.A.R.L.,Teranga Gold Corporation,Senegal,Fees,01-01-2020,12-31-2020,101182,,"'Sabodala Mining Company SARL' changed to 'Sabodala Mining Company S.A.R.L.'"
5e250c3e93c3e8337cbdacf088647a3b-5c1f9f75b92f961ace297a10e9837dc9-98587fcd69d9a8c95927419d56d9bffc-d2bb3dc7733635dd402b4d6e267eb3ce,Sangomar-Rufisque,Cairn Energy PLC,Senegal,Fees,01-01-2015,12-31-2015,107000
6270a71eafb44b9a92d3bbe2d4613858,Boto,Iamgold Corporation,Senegal,Bonuses,01-01-2020,12-31-2020,3600000,Paid in CFA and USD. Bonuses includes the 10% free-carried interest transferred to the National Government of Senegal to the value of $3.6 million.
65902e6b3335b17a625064e9ea93a1ee,Mako,Resolute Mining Limited,Senegal,Payments for infrastructure improvements,01-01-2019,12-31-2019,136642,,"'Infrastructure Improvement' changed to 'Payments for infrastructure improvements'"
7cca4e996273da026dea824889badf72,Senegal Offshore Sud Profond,African Petroleum Corporation Limited,Senegal,Fees,01-01-2016,12-31-2016,0,,"'Sosp' changed to 'Senegal Offshore Sud Profond'; 'License fees' changed to 'Fees'"
81388bb3c90accc489cb2ce097e66d3e,Douta Gold Project,Thor Explorations Ltd.,Senegal,Fees,01-01-2020,12-31-2020,7353,Pa yme n t o f lice n se  r e n e wa l fe e s a n d  p e rmittin g  co sts.
b6cdc144d3420f3ef94f819be4416ffa,General Directorate of Taxation and Treasury,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2017,12-31-2017,699767,,"'Generalna Dyrekcja Podatków i Skarbu Państwa: Urzad skarbowy, samorząd lokalny*' changed to 'General Directorate of Taxation and Treasury'; 'Podatki pobierane od dochodu, produkcji lub zysków spółek, z wyłączeniem podatku od konsumpcji, takiego jak podatek od towarów i usług, podatku dochodowego od osób fizycznych lub podatku odsprzedaży' changed to 'Taxes'"
b6cdc144d3420f3ef94f819be4416ffa,General Directorate for Affairs,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2017,12-31-2017,45377,,"'Generalna Dyrekcja do spraw ceł' changed to 'General Directorate for Affairs'; 'Podatki pobierane od dochodu, produkcji lub zysków spółek, z wyłączeniem podatku od konsumpcji, takiego jak podatek od towarów i usług, podatku dochodowego od osób fizycznych lub podatku od sprzedaży' changed to 'Taxes'"
d2d98fc7d314415f4fe28cf93169441a,Kebemer Deposit,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,846356,"the main item (in the amount of PLN 284,000) is the minimum flat-rate tax applied to companies deficits or those who make small profits that do not allow you to collect income tax companies","'Kebemer' changed to 'Kebemer Deposit'; 'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
d2d98fc7d314415f4fe28cf93169441a,Payments on level units,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,130872,the main item (PLN 469 thousand) is the mining tax related to phosphorites mined in 2013 - 2014,"'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
d2d98fc7d314415f4fe28cf93169441a,Pozostale,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,507,,"'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
d2d98fc7d314415f4fe28cf93169441a,Lam Lam Mine,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,119712,the main position (in the amount of PLN 3 337 thousand) is a tax on non-commercial income (tax on sources in the 20% rate),"'Lam Lam' changed to 'Lam Lam Mine'; 'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
e04fcf3ffac88b92c056525aff1633f7,AGC Central License Area,Forza Petroleum Limited,Senegal,Fees,01-01-2020,12-31-2020,117500,Production sharing contract compliance costs. See note (3).
ea9da5c61a643a49b4800158226a347a,Randgold Resources (Senegal) Limited,Randgold Resources Limited,Senegal,Fees,01-01-2015,12-31-2015,42294,License Fees,"'Randgold Resources Senegal Limited' changed to 'Randgold Resources (Senegal) Limited'"
