sourceID,reportingCompany,reportingCountry,sourceURL,format,startDate,endDate,sourcePublishDate
fea8bf8f98d1bde897ebb6825c996480,AltaGas Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportfea8bf8f98d1bde897ebb6825c996480,.pdf,01-01-2016,12-31-2016,05-30-2017
9f5d7b07b9ea9d63acc983a0d06e9775,Aquila Resources Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-9f5d7b07b9ea9d63acc983a0d06e9775,.pdf,01-01-2018,12-31-2018,05-31-2019
4332b9b4135225a43ab3fb971c67cba7,Athabasca Minerals Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-4332b9b4135225a43ab3fb971c67cba7,.pdf,01-01-2017,12-31-2017,05-28-2018
88a58dbdeaf2e78e30b7264f0cdae208,Aura Minerals Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report88a58dbdeaf2e78e30b7264f0cdae208,.pdf,01-01-2017,12-31-2017,05-30-2018
7aaf36d4d6cb472229fd5d3e253a6b83,Aurania Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-7aaf36d4d6cb472229fd5d3e253a6b83,.pdf,01-01-2017,12-31-2017,05-29-2018
8850d5fa3e047259d98afd1110865a6f,Azimut Exploration Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report8850d5fa3e047259d98afd1110865a6f,.pdf,09-01-2015,08-31-2016,01-11-2017
ec30e4851d5716d6b13496e1e48b7bf9,Azucar Minerals Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportec30e4851d5716d6b13496e1e48b7bf9,.pdf,01-01-2017,12-31-2017,05-30-2018
fdd422014d62039c38548b50394c3283,Bankers Petroleum Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-fdd422014d62039c38548b50394c3283,.pdf,01-01-2018,12-31-2018,05-29-2019
2492076a76d2e9677d83e0c403f80dad,Bonterra Energy Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report2492076a76d2e9677d83e0c403f80dad,.pdf,01-01-2017,12-31-2017,03-13-2018
f053f78e7cb74e9b74052bf41f550ed5,Canadian Non-Operated Resources Limited Partnership,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f053f78e7cb74e9b74052bf41f550ed5,.pdf,01-01-2018,12-31-2018,05-30-2019
751b53578f39ddce87775f7082f69ccd-25d34ff91a515217fede4546ad6e3482-ac7da7b603e576863c84d7371d26c5da-5af2b5d51fdeb5de03488d84385da93b,Abu Dhabi Marine Areas Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report751b53578f39ddce87775f7082f69ccd-25d34ff91a515217fede4546ad6e3482-ac7da7b603e576863c84d7371d26c5da-5af2b5d51fdeb5de03488d84385da93b,.zip,01-01-2015,12-31-2015,10-05-2016
b9ef761785bff4295f87d46c44a60b00,BASF SE,Germany,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportb9ef761785bff4295f87d46c44a60b00,.pdf,01-01-2017,12-31-2017,06-19-2018
a51bada9ec41b0dd86702276eaeb0f62,Belo Sun Mining Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-a51bada9ec41b0dd86702276eaeb0f62,.pdf,01-01-2018,12-31-2018,05-10-2019
